"away_team_id","wins","games","dogscore"
1773,5,37,0.135135135135135
2033,7,53,0.132075471698113
4049,1,16,0.0625
4064,1,11,0.0909090909090909
4087,12,61,0.19672131147541
4170,3,18,0.166666666666667
6269,2,17,0.117647058823529
6351,2,15,0.133333333333333
6367,1,13,0.0769230769230769
6391,3,18,0.166666666666667
6403,8,53,0.150943396226415
6413,4,38,0.105263157894737
6421,5,20,0.25
6433,6,30,0.2
6547,2,15,0.133333333333333
6601,1,16,0.0625
6631,1,16,0.0625
7788,1,35,0.0285714285714286
7794,11,65,0.169230769230769
7819,14,68,0.205882352941176
7841,10,60,0.166666666666667
7842,4,24,0.166666666666667
7844,6,40,0.15
7869,2,19,0.105263157894737
7878,17,82,0.207317073170732
7943,12,41,0.292682926829268
7947,3,13,0.230769230769231
7992,2,13,0.153846153846154
8066,13,50,0.26
8121,6,16,0.375
8152,3,15,0.2
8165,12,60,0.2
8177,8,53,0.150943396226415
8178,6,19,0.315789473684211
8191,4,37,0.108108108108108
8194,2,16,0.125
8197,3,17,0.176470588235294
8203,11,50,0.22
8226,8,53,0.150943396226415
8234,3,13,0.230769230769231
8262,6,15,0.4
8277,13,56,0.232142857142857
8284,5,35,0.142857142857143
8295,2,13,0.153846153846154
8302,4,30,0.133333333333333
8305,12,86,0.13953488372093
8306,4,16,0.25
8315,5,54,0.0925925925925926
8344,2,16,0.125
8348,7,34,0.205882352941176
8350,7,26,0.269230769230769
8357,4,16,0.25
8358,18,75,0.24
8370,13,65,0.2
8371,14,81,0.172839506172839
8372,6,33,0.181818181818182
8388,1,18,0.0555555555555556
8394,9,57,0.157894736842105
8398,2,16,0.125
8406,10,51,0.196078431372549
8426,4,23,0.173913043478261
8429,15,57,0.263157894736842
8455,3,9,0.333333333333333
8456,3,16,0.1875
8457,4,19,0.210526315789474
8460,3,16,0.1875
8462,2,27,0.0740740740740741
8464,10,73,0.136986301369863
8466,6,31,0.193548387096774
8467,12,49,0.244897959183673
8472,18,102,0.176470588235294
8475,9,41,0.219512195121951
8479,4,16,0.25
8481,15,65,0.230769230769231
8483,5,19,0.263157894736842
8485,4,33,0.121212121212121
8521,6,48,0.125
8524,14,84,0.166666666666667
8525,5,78,0.0641025641025641
8526,7,61,0.114754098360656
8528,10,73,0.136986301369863
8529,17,101,0.168316831683168
8530,7,88,0.0795454545454545
8533,25,123,0.203252032520325
8534,3,23,0.130434782608696
8535,9,45,0.2
8537,4,38,0.105263157894737
8540,14,79,0.177215189873418
8543,8,46,0.173913043478261
8549,2,13,0.153846153846154
8550,1,16,0.0625
8551,8,63,0.126984126984127
8558,14,94,0.148936170212766
8559,6,51,0.117647058823529
8560,14,60,0.233333333333333
8564,1,16,0.0625
8571,12,58,0.206896551724138
8573,3,13,0.230769230769231
8576,5,50,0.1
8581,20,105,0.19047619047619
8583,13,43,0.302325581395349
8586,7,36,0.194444444444444
8588,5,47,0.106382978723404
8593,2,3,0.666666666666667
8596,4,24,0.166666666666667
8597,20,84,0.238095238095238
8600,10,71,0.140845070422535
8602,7,50,0.14
8603,13,58,0.224137931034483
8611,4,21,0.19047619047619
8613,3,26,0.115384615384615
8614,1,27,0.037037037037037
8633,2,8,0.25
8635,1,1,1
8636,3,19,0.157894736842105
8639,3,27,0.111111111111111
8640,2,5,0.4
8649,7,40,0.175
8650,6,23,0.260869565217391
8654,13,83,0.156626506024096
8655,6,50,0.12
8658,2,24,0.0833333333333333
8659,17,92,0.184782608695652
8661,10,61,0.163934426229508
8667,8,62,0.129032258064516
8668,6,48,0.125
8674,11,58,0.189655172413793
8678,1,10,0.1
8682,3,30,0.1
8686,5,18,0.277777777777778
8689,21,89,0.235955056179775
8690,3,16,0.1875
8696,11,53,0.207547169811321
8697,10,54,0.185185185185185
8721,5,38,0.131578947368421
8722,18,68,0.264705882352941
9746,3,18,0.166666666666667
9747,7,43,0.162790697674419
9748,1,11,0.0909090909090909
9761,12,79,0.151898734177215
9764,7,42,0.166666666666667
9765,1,13,0.0769230769230769
9768,1,14,0.0714285714285714
9771,2,24,0.0833333333333333
9772,1,7,0.142857142857143
9776,1,17,0.0588235294117647
9783,5,68,0.0735294117647059
9788,12,61,0.19672131147541
9789,6,18,0.333333333333333
9790,10,59,0.169491525423729
9791,12,81,0.148148148148148
9798,2,19,0.105263157894737
9800,15,83,0.180722891566265
9803,10,77,0.12987012987013
9804,5,52,0.0961538461538462
9807,6,49,0.122448979591837
9809,4,30,0.133333333333333
9810,7,65,0.107692307692308
9817,1,13,0.0769230769230769
9825,5,18,0.277777777777778
9826,9,40,0.225
9827,3,35,0.0857142857142857
9829,5,34,0.147058823529412
9830,10,49,0.204081632653061
9831,22,101,0.217821782178218
9836,3,18,0.166666666666667
9837,13,68,0.191176470588235
9839,3,58,0.0517241379310345
9847,1,11,0.0909090909090909
9850,9,65,0.138461538461538
9851,11,53,0.207547169811321
9853,10,59,0.169491525423729
9855,4,34,0.117647058823529
9857,22,114,0.192982456140351
9858,1,18,0.0555555555555556
9860,7,42,0.166666666666667
9864,11,79,0.139240506329114
9865,13,75,0.173333333333333
9867,1,17,0.0588235294117647
9868,2,18,0.111111111111111
9869,14,81,0.172839506172839
9873,9,83,0.108433734939759
9874,11,87,0.126436781609195
9875,3,26,0.115384615384615
9876,7,46,0.152173913043478
9878,2,19,0.105263157894737
9879,10,66,0.151515151515152
9880,6,54,0.111111111111111
9882,6,74,0.0810810810810811
9885,3,8,0.375
9888,10,52,0.192307692307692
9891,2,19,0.105263157894737
9904,16,93,0.172043010752688
9905,15,58,0.258620689655172
9906,3,23,0.130434782608696
9908,10,62,0.161290322580645
9910,9,39,0.230769230769231
9911,6,28,0.214285714285714
9912,1,15,0.0666666666666667
9925,1,1,1
9927,8,55,0.145454545454545
9938,5,33,0.151515151515152
9941,15,71,0.211267605633803
9976,4,32,0.125
9984,7,53,0.132075471698113
9985,3,14,0.214285714285714
9986,9,57,0.157894736842105
9987,3,25,0.12
9989,3,48,0.0625
9991,6,20,0.3
9993,5,39,0.128205128205128
9994,9,48,0.1875
9996,1,7,0.142857142857143
9997,9,46,0.195652173913043
9998,3,29,0.103448275862069
9999,3,29,0.103448275862069
10000,11,42,0.261904761904762
10001,7,56,0.125
10003,12,54,0.222222222222222
10167,12,71,0.169014084507042
10172,7,46,0.152173913043478
10189,4,23,0.173913043478261
10194,17,99,0.171717171717172
10205,4,39,0.102564102564103
10211,5,31,0.161290322580645
10212,5,40,0.125
10213,1,10,0.1
10214,5,44,0.113636363636364
10215,9,72,0.125
10217,17,98,0.173469387755102
10218,7,60,0.116666666666667
10219,8,55,0.145454545454545
10228,8,45,0.177777777777778
10229,5,29,0.172413793103448
10233,10,85,0.117647058823529
10235,3,28,0.107142857142857
10238,9,92,0.0978260869565217
10242,3,35,0.0857142857142857
10249,9,55,0.163636363636364
10251,6,38,0.157894736842105
10252,17,87,0.195402298850575
10260,2,9,0.222222222222222
10261,10,73,0.136986301369863
10264,2,22,0.0909090909090909
10267,5,30,0.166666666666667
10268,6,32,0.1875
10269,5,44,0.113636363636364
10278,2,15,0.133333333333333
10281,9,61,0.147540983606557
108893,1,19,0.0526315789473684
158085,3,31,0.0967741935483871
188163,5,17,0.294117647058824
208931,1,16,0.0625
274581,5,25,0.2
